Year,Month,Day,Hour,Minute,Second,Dendrometer(uM),Pressure(hPa),Temp SHT41(C),Humidity(%),Moisture Level
2024,7,4,23,4,57,5923.48,985.37,21.6354,59.3448,350
2024,7,4,23,9,57,5923.49,985.365,21.6674,59.4421,350
2024,7,4,23,14,58,5923.46,985.398,21.6621,59.4211,349
2024,7,4,23,19,58,5923.4,985.42,21.6461,59.4841,350
2024,7,4,23,24,59,5923.43,985.445,21.6514,59.5375,350
2024,7,4,23,30,0,5923.53,985.467,21.6354,59.4478,350
2024,7,4,23,35,0,5923.22,985.451,21.6461,59.1903,350
2024,7,4,23,40,1,5923.19,985.493,21.63,59.1255,349
2024,7,4,23,45,2,5923.37,985.552,21.614,58.8775,349
2024,7,4,23,50,2,5923.3,985.596,21.6033,58.6906,350
2024,7,4,23,55,3,5923.42,985.6,21.6087,58.4865,350
2024,7,5,0,0,3,5923.47,985.595,21.6087,58.2824,349
2024,7,5,0,5,4,5923.42,985.641,21.5873,58.1165,350
2024,7,5,0,10,5,5923.43,985.702,21.5873,58.0059,350
2024,7,5,0,15,5,5923.45,985.765,21.5873,57.8609,350
2024,7,5,0,20,6,5923.44,985.791,21.5766,57.8056,350
2024,7,5,0,25,7,5923.36,985.8,21.6087,57.8075,349
2024,7,5,0,30,7,5923.45,985.822,21.6033,57.7674,350
2024,7,5,0,35,8,5923.38,985.813,21.5927,57.6339,349
2024,7,5,0,40,8,5923.4,985.819,21.5927,57.4737,350
2024,7,5,0,45,9,5923.36,985.856,21.5659,57.4108,349
2024,7,5,0,50,10,5923.44,985.837,21.5659,57.3211,349
2024,7,5,0,55,10,5923.38,985.792,21.5606,57.2849,350
2024,7,5,1,0,11,5923.33,985.805,21.5339,57.2563,350
2024,7,5,1,5,12,5923.2,985.847,21.5553,57.1304,350
2024,7,5,1,10,12,5923.22,985.814,21.5606,57.0884,349
2024,7,5,1,15,13,5923.35,985.785,21.5392,56.9129,349
2024,7,5,1,20,13,5923.17,985.771,21.5339,56.7756,350
2024,7,5,1,25,14,5923.27,985.682,21.5179,56.808,350
2024,7,5,1,30,15,5923.43,985.66,21.5125,56.7813,350
2024,7,5,1,35,15,5923.41,985.638,21.5286,56.8157,349
2024,7,5,1,40,16,5923.48,985.665,21.5019,56.8042,350
2024,7,5,1,45,17,5923.15,985.647,21.5179,56.7108,349
2024,7,5,1,50,17,5923.15,985.674,21.5072,56.6097,350
2024,7,5,1,55,18,5923.19,985.709,21.4965,56.5353,349
2024,7,5,2,0,18,5923.3,985.708,21.5125,56.4132,349
2024,7,5,2,5,19,5923.23,985.694,21.4698,56.3655,349
2024,7,5,2,10,20,5923.22,985.635,21.4912,56.2072,350
2024,7,5,2,15,20,5923.04,985.636,21.4858,56.1271,349
2024,7,5,2,20,21,5923.04,985.598,21.4698,56.0375,349
2024,7,5,2,25,22,5923.12,985.555,21.4324,55.9535,349
2024,7,5,2,30,22,5923.13,985.522,21.4591,55.8562,350
2024,7,5,2,35,23,5923.08,985.484,21.4485,55.8448,350
2024,7,5,2,40,23,5922.94,985.483,21.4324,55.8925,349
2024,7,5,2,45,24,5923.08,985.519,21.4431,55.902,350
2024,7,5,2,50,25,5923.06,985.531,21.4591,55.9612,350
2024,7,5,2,55,25,5923.17,985.511,21.4111,55.8849,350
2024,7,5,3,0,26,5923.12,985.48,21.4378,55.8315,349
2024,7,5,3,5,27,5923.04,985.452,21.3951,55.7151,349
2024,7,5,3,10,27,5922.93,985.492,21.4324,55.6636,350
2024,7,5,3,15,28,5922.99,985.563,21.4218,55.574,350
2024,7,5,3,20,28,5923.02,985.531,21.3951,55.4519,349
2024,7,5,3,25,29,5923.04,985.565,21.3951,55.3699,350
2024,7,5,3,30,30,5923.31,985.585,21.3737,55.3146,350
2024,7,5,3,35,30,5923.35,985.594,21.379,55.2077,349
2024,7,5,3,40,31,5923.29,985.598,21.3737,55.1868,350
2024,7,5,3,45,32,5923.14,985.567,21.363,55.1143,350
2024,7,5,3,50,32,5923.06,985.565,21.3577,55.0437,350
2024,7,5,3,55,33,5923.27,985.626,21.379,55.0227,350
2024,7,5,4,0,34,5923.25,985.607,21.363,54.9522,349
2024,7,5,4,5,34,5923.28,985.6,21.379,54.935,349
2024,7,5,4,10,35,5923.24,985.648,21.3683,54.9369,349
2024,7,5,4,15,35,5923.27,985.715,21.3844,54.9922,350
2024,7,5,4,20,36,5923.3,985.718,21.3577,55.0246,350
2024,7,5,4,25,37,5923.27,985.698,21.3683,55.038,349
2024,7,5,4,30,37,5923.26,985.706,21.3577,54.9236,349
2024,7,5,4,35,38,5923.29,985.691,21.347,54.8167,349
2024,7,5,4,40,38,5923.11,985.746,21.3577,54.7137,349
2024,7,5,4,45,39,5923.13,985.768,21.3363,54.6145,349
2024,7,5,4,50,40,5923.07,985.783,21.331,54.5058,349
2024,7,5,4,55,40,5923.3,985.802,21.331,54.4181,349
2024,7,5,5,0,41,5923.18,985.837,21.331,54.2846,350
2024,7,5,5,5,42,5923.1,985.81,21.3203,54.1892,350
2024,7,5,5,10,42,5923.26,985.817,21.3203,54.1892,349
2024,7,5,5,15,43,5923.37,985.827,21.3203,54.1434,349
2024,7,5,5,20,44,5923.36,985.855,21.3149,54.1987,350
2024,7,5,5,25,44,5923.11,985.887,21.331,54.2369,349
2024,7,5,5,30,45,5923.13,985.901,21.3203,54.2541,350
2024,7,5,5,35,45,5923.33,985.909,21.3416,54.2426,349
2024,7,5,5,40,46,5923.14,985.968,21.3523,54.214,350
2024,7,5,5,45,47,5923.16,986.007,21.347,54.0919,349
2024,7,5,5,50,47,5923.2,986.009,21.3577,54.0233,349
2024,7,5,5,55,48,5923.16,986.003,21.3523,53.9508,349
2024,7,5,6,0,49,5923.33,985.992,21.379,53.7982,350
2024,7,5,6,5,49,5923.41,985.948,21.4164,53.6609,350
2024,7,5,6,10,50,5923.38,985.954,21.4324,53.5712,349
2024,7,5,6,15,50,5923.45,986.003,21.4538,53.4263,350
2024,7,5,6,20,51,5923.34,986.073,21.4698,53.2737,349
2024,7,5,6,25,52,5923.43,986.067,21.5019,53.1573,349
2024,7,5,6,30,52,5923.43,986.107,21.5713,53.0906,350
2024,7,5,6,35,53,5923.55,986.1,21.5873,53.0581,350
2024,7,5,6,40,54,5923.52,986.115,21.614,53.0696,349
2024,7,5,6,45,54,5923.54,986.178,21.6087,52.9265,350
2024,7,5,6,50,55,5923.34,986.189,21.6621,52.7396,350
2024,7,5,6,55,55,5923.39,986.174,21.6888,52.5965,350
2024,7,5,7,0,56,5923.42,986.226,21.7048,52.4134,349
2024,7,5,7,5,57,5923.62,986.265,21.6995,52.3886,350
2024,7,5,7,10,57,5923.59,986.222,21.7529,52.6385,349
2024,7,5,7,15,58,5923.54,986.237,21.7635,52.9284,349
2024,7,5,7,20,58,5923.65,986.243,21.7529,53.3099,349
2024,7,5,7,25,59,5923.63,986.323,21.7635,53.5922,349
2024,7,5,7,31,0,5923.55,986.362,21.7529,53.8974,349
2024,7,5,7,36,0,5923.55,986.375,21.7796,54.0824,349
2024,7,5,7,41,1,5923.51,986.382,21.7796,54.2064,349
2024,7,5,7,46,2,5923.64,986.391,21.7635,54.3819,350
2024,7,5,7,51,2,5923.46,986.401,21.7475,54.6336,349
2024,7,5,7,56,3,5923.38,986.424,21.7635,54.708,349
2024,7,5,8,1,3,5923.54,986.413,21.7689,54.75,350
2024,7,5,8,6,4,5923.42,986.389,21.7475,54.9026,349
2024,7,5,8,11,5,5923.47,986.352,21.7796,54.8377,350
2024,7,5,8,16,5,5923.5,986.297,21.7956,54.8797,350
2024,7,5,8,21,6,5923.41,986.32,21.7956,54.8835,350
2024,7,5,8,26,7,5923.43,986.338,21.7956,55.0437,349
2024,7,5,8,31,7,5923.53,986.334,21.817,55.1543,349
2024,7,5,8,36,8,5923.52,986.349,21.8063,55.1181,349
2024,7,5,8,41,9,5923.52,986.345,21.8437,55.1658,350
2024,7,5,8,46,9,5923.55,986.314,21.8757,55.3241,350
2024,7,5,8,51,10,5923.6,986.305,21.8917,55.5282,350
2024,7,5,8,56,10,5923.65,986.308,21.9184,55.677,349
2024,7,5,9,1,11,5923.6,986.273,21.9612,55.9306,349
2024,7,5,9,6,12,5923.7,986.292,22.0092,56.4762,350
2024,7,5,9,11,12,5923.86,986.302,22.0573,56.5982,349
2024,7,5,9,16,13,5923.92,986.316,22.1053,56.8424,349
2024,7,5,9,21,13,5923.88,986.284,22.1481,57.0083,350
2024,7,5,9,26,14,5923.77,986.283,22.1588,56.9492,349
2024,7,5,9,31,15,5933.11,986.236,22.1694,57.0484,393
2024,7,5,9,36,15,5933.37,986.234,22.1855,57.0865,393
2024,7,5,9,41,16,5933.73,986.214,22.1694,57.1762,393
2024,7,5,9,46,17,5933.84,986.253,22.2228,57.1743,393
2024,7,5,9,51,17,5934.05,986.281,22.3029,57.4813,393
